week,year,date,respiratory,num_visits,percent_resp,start_date,resp_percent
40,2021,OCT 3-9,127,447,0.284116331,10/4/2021,28.41163311
41,2021,OCT 10-16,162,456,0.355263158,10/11/2021,35.52631579
42,2021,OCT 17-23,132,471,0.280254777,10/18/2021,28.02547771
43,2021,OCT 24-30,124,378,0.328042328,10/25/2021,32.8042328
44,2021,OCT 31-NOV 6,119,419,0.284009547,11/1/2021,28.40095465
45,2021,NOV 7-13,121,473,0.255813953,11/8/2021,25.58139535
46,2021,NOV 14-20,132,414,0.31884058,11/15/2021,31.88405797
47,2021,NOV 21-27,95,405,0.234567901,11/22/2021,23.45679012
48,2021,NOV 28-DEC 4,137,464,0.295258621,11/29/2021,29.52586207
49,2021,DEC 5-11,182,436,0.417431193,12/6/2021,41.74311927
50,2021,DEC 12-18,123,407,0.302211302,12/13/2021,30.22113022
51,2021,DEC 19-25,167,429,0.389277389,12/20/2021,38.92773893
52,2021,DEC 26-JAN 1,229,500,0.458,12/27/2021,45.8
1,2022,JAN 2-8,213,587,0.36286201,1/3/2022,36.28620102
2,2022,JAN 9-15,164,493,0.332657201,1/10/2022,33.26572008
3,2022,JAN 16-22,96,475,0.202105263,1/17/2022,20.21052632
4,2022,JAN 23-29,51,400,0.1275,1/24/2022,12.75
5,2022,JAN 30-FEB 5,20,383,0.052219321,1/31/2022,5.221932115
6,2022,FEB 6-12,23,398,0.057788945,2/7/2022,5.778894472
7,2022,FEB 13-19,45,396,0.113636364,2/14/2022,11.36363636
8,2022,FEB 20-26,42,344,0.122093023,2/21/2022,12.20930233
9,2022,FEB 27-MAR 5,39,415,0.093975904,2/28/2022,9.397590361
10,2022,MAR 6-12,48,405,0.118518519,3/7/2022,11.85185185
11,2022,MAR 13-19,50,406,0.123152709,3/14/2022,12.31527094
12,2022,MAR 20-26,51,454,0.112334802,3/21/2022,11.23348018
13,2022,MAR 27-APR 2,57,406,0.140394089,3/28/2022,14.03940887
14,2022,APR 3-9,71,410,0.173170732,4/4/2022,17.31707317
15,2022,APR 10-16,48,412,0.116504854,4/11/2022,11.65048544
16,2022,APR 17-23,50,421,0.118764846,4/18/2022,11.87648456
17,2022,APR 24-30,23,446,0.051569507,4/25/2022,5.156950673
18,2022,MAY 1-7,65,499,0.130260521,5/2/2022,13.0260521
19,2022,MAY 8-14,131,473,0.276955603,5/9/2022,27.69556025
20,2022,MAY 15-21,116,468,0.247863248,5/16/2022,24.78632479
21,2022,MAY 22-28,131,508,0.257874016,5/23/2022,25.78740157
22,2022,MAY 29-JUN 4,148,537,0.275605214,5/30/2022,27.56052142
23,2022,JUN 5-11,158,506,0.312252964,6/6/2022,31.22529644
24,2022,JUN 12-18,109,480,0.227083333,6/13/2022,22.70833333
25,2022,JUN 19-25,114,508,0.224409449,6/20/2022,22.44094488
26,2022,JUN 26-JUL2,135,487,0.277207392,6/27/2022,27.72073922
27,2022,JUL 3-9,85,431,0.197215777,7/4/2022,19.72157773
28,2022,JUL 10-16,89,449,0.198218263,7/11/2022,19.82182628
29,2022,JUL 17-23,90,431,0.208816705,7/18/2022,20.88167053
30,2022,JUL 24-30,88,447,0.196868009,7/25/2022,19.68680089
31,2022,JUL 31-AUG 6,92,429,0.214452214,8/1/2022,21.44522145
32,2022,AUG 7-13,80,480,0.166666667,8/8/2022,16.66666667
33,2022,AUG 14-20,68,445,0.152808989,8/15/2022,15.28089888
34,2022,AUG 21-27,129,525,0.245714286,8/22/2022,24.57142857
35,2022,AUG 28- SEP3,125,500,0.25,8/29/2022,25
36,2022,SEP 4-10,134,527,0.25426945,9/5/2022,25.42694497
37,2022,SEP 11-17,125,500,0.25,9/12/2022,25
38,2022,SEP 18-24,102,467,0.218415418,9/19/2022,21.84154176
39,2022,SEP 25- OCT 1,91,439,0.207289294,9/26/2022,20.72892938
40,2022,OCT 2-8,131,451,0.290465632,10/3/2022,29.04656319
41,2022,OCT 9-15,136,429,0.317016317,10/10/2022,31.7016317
42,2022,OCT 16-22,191,492,0.388211382,10/17/2022,38.82113821
43,2022,OCT 23-29,161,485,0.331958763,10/24/2022,33.19587629
44,2022,OCT 30- NOV 5,208,473,0.4397463,10/31/2022,43.97463002
45,2022,NOV 6-12,240,509,0.47151277,11/7/2022,47.15127701
46,2022,NOV 13-19,274,539,0.508348794,11/14/2022,50.83487941
47,2022,NOV 20-26,289,631,0.45800317,11/21/2022,45.80031696
48,2022,NOV 27 - DEC 3,196,661,0.296520424,11/28/2022,29.65204236
49,2022,DEC 3- 10,44,563,0.078152753,12/5/2022,7.815275311
50,2022,DEC 11-17,55,556,0.098920863,12/12/2022,9.892086331
51,2022,DEC 18-24,19,474,0.040084388,12/19/2022,4.008438819
52,2022,DEC 25-31,32,447,0.071588367,12/26/2022,7.158836689
1,2023,JAN 1-7,34,458,0.074235808,1/2/2023,7.423580786
2,2023,JAN 8-14,22,402,0.054726368,1/9/2023,5.472636816
3,2023,JAN 15-21,38,420,0.09047619,1/16/2023,9.047619048
4,2023,JAN 22-28,63,443,0.14221219,1/23/2023,14.22121896
5,2023,JAN 29- FEB 4,120,468,0.256410256,1/30/2023,25.64102564
6,2023,FEB 5-11,143,472,0.302966102,2/6/2023,30.29661017
7,2023,FEB 12-18,69,475,0.145263158,2/13/2023,14.52631579
8,2023,FEB 19-25,99,461,0.214750542,2/20/2023,21.47505423
9,2023,FEB 26- MAR 4,106,459,0.230936819,2/27/2023,23.09368192
10,2023,MAR 5-11,113,430,0.262790698,3/6/2023,26.27906977
11,2023,MAR 12-18,98,452,0.216814159,3/13/2023,21.68141593
12,2023,MAR 19-25,132,500,0.264,3/20/2023,26.4
13,2023,MAR 26- APR 1,146,541,0.26987061,3/27/2023,26.987061
14,2023,APR 2- 8,129,446,0.289237668,4/3/2023,28.92376682
15,2023,APR 9-15,144,619,0.232633279,4/10/2023,23.26332795
16,2023,APR 16-22,134,521,0.257197697,4/17/2023,25.71976967
17,2023,APR 23-29,159,554,0.28700361,4/24/2023,28.70036101
